entity_id,dataset,known_pct,unknown_pct,raw_weight,required_weight
MVMT-WATCHES,STRAIN,0,1,0,1.75
BOMBAS,STRUCTURAL,0.12,0.88,0.3,2.5
BOMBAS,COMPLEXITY,0,1,0,2
BOMBAS,STRAIN,0,1,0,1.75
CHUBBIES,STRUCTURAL,0.12,0.88,0.3,2.5
CHUBBIES,COMPLEXITY,0,1,0,2
CHUBBIES,STRAIN,0,1,0,1.75
TRACKSMITH,STRUCTURAL,0.12,0.88,0.3,2.5
TRACKSMITH,COMPLEXITY,0,1,0,2
TRACKSMITH,STRAIN,0,1,0,1.75
OUTDOOR-VOICES,STRUCTURAL,0.2,0.8,0.5,2.5
OUTDOOR-VOICES,COMPLEXITY,0,1,0,2
OUTDOOR-VOICES,STRAIN,0,1,0,1.75
REFORMATION,STRUCTURAL,0.12,0.88,0.3,2.5
REFORMATION,COMPLEXITY,0,1,0,2
REFORMATION,STRAIN,0,1,0,1.75
EVERLANE,STRUCTURAL,0.2,0.8,0.5,2.5
EVERLANE,COMPLEXITY,0,1,0,2
EVERLANE,STRAIN,0,1,0,1.75
KOTN,STRUCTURAL,0.12,0.88,0.3,2.5
KOTN,COMPLEXITY,0,1,0,2
KOTN,STRAIN,0,1,0,1.75
ARTICLE,STRUCTURAL,0.2,0.8,0.5,2.5
ARTICLE,COMPLEXITY,0,1,0,2
ARTICLE,STRAIN,0,1,0,1.75
BURROW,STRUCTURAL,0.12,0.88,0.3,2.5
BURROW,COMPLEXITY,0,1,0,2
BURROW,STRAIN,0,1,0,1.75
FLOYD,STRUCTURAL,0.2,0.8,0.5,2.5
FLOYD,COMPLEXITY,0,1,0,2
FLOYD,STRAIN,0,1,0,1.75
CASPER,STRUCTURAL,0.12,0.88,0.3,2.5
CASPER,COMPLEXITY,0,1,0,2
CASPER,STRAIN,0,1,0,1.75
HELIX-SLEEP,STRUCTURAL,0.2,0.8,0.5,2.5
HELIX-SLEEP,COMPLEXITY,0,1,0,2
HELIX-SLEEP,STRAIN,0,1,0,1.75
PURPLE,STRUCTURAL,0.12,0.88,0.3,2.5
PURPLE,COMPLEXITY,0,1,0,2
PURPLE,STRAIN,0,1,0,1.75
TUFT-NEEDLE,STRUCTURAL,0.2,0.8,0.5,2.5
TUFT-NEEDLE,COMPLEXITY,0,1,0,2
TUFT-NEEDLE,STRAIN,0,1,0,1.75
SNOWE,STRUCTURAL,0.2,0.8,0.5,2.5
SNOWE,COMPLEXITY,0,1,0,2
SNOWE,STRAIN,0,1,0,1.75
FOOD52,STRUCTURAL,0.12,0.88,0.3,2.5
FOOD52,COMPLEXITY,0,1,0,2
FOOD52,STRAIN,0,1,0,1.75
MATERIAL-KITCHEN,STRUCTURAL,0.2,0.8,0.5,2.5
MATERIAL-KITCHEN,COMPLEXITY,0,1,0,2
MATERIAL-KITCHEN,STRAIN,0,1,0,1.75
MADE-IN-COOKWARE,STRUCTURAL,0.12,0.88,0.3,2.5
MADE-IN-COOKWARE,COMPLEXITY,0,1,0,2
MADE-IN-COOKWARE,STRAIN,0,1,0,1.75
HEDLEY-BENNETT,STRUCTURAL,0.2,0.8,0.5,2.5
HEDLEY-BENNETT,COMPLEXITY,0,1,0,2
HEDLEY-BENNETT,STRAIN,0,1,0,1.75
PEAK-DESIGN,STRUCTURAL,0.12,0.88,0.3,2.5
PEAK-DESIGN,COMPLEXITY,0,1,0,2
PEAK-DESIGN,STRAIN,0,1,0,1.75
YETI,STRUCTURAL,0.2,0.8,0.5,2.5
YETI,COMPLEXITY,0,1,0,2
YETI,STRAIN,0,1,0,1.75
HYDRO-FLASK,STRUCTURAL,0.12,0.88,0.3,2.5
HYDRO-FLASK,COMPLEXITY,0,1,0,2
HYDRO-FLASK,STRAIN,0,1,0,1.75
SOLO-STOVE,STRUCTURAL,0.2,0.8,0.5,2.5
SOLO-STOVE,COMPLEXITY,0,1,0,2
SOLO-STOVE,STRAIN,0,1,0,1.75
TRAEGER-GRILLS,STRUCTURAL,0.12,0.88,0.3,2.5
TRAEGER-GRILLS,COMPLEXITY,0,1,0,2
TRAEGER-GRILLS,STRAIN,0,1,0,1.75
STANLEY,STRUCTURAL,0.12,0.88,0.3,2.5
STANLEY,COMPLEXITY,0,1,0,2
STANLEY,STRAIN,0,1,0,1.75
OONI,STRUCTURAL,0.12,0.88,0.3,2.5
OONI,COMPLEXITY,0,1,0,2
OONI,STRAIN,0,1,0,1.75
BIOLITE,STRUCTURAL,0.2,0.8,0.5,2.5
BIOLITE,COMPLEXITY,0,1,0,2
BIOLITE,STRAIN,0,1,0,1.75
COTOPAXI,STRUCTURAL,0.12,0.88,0.3,2.5
COTOPAXI,COMPLEXITY,0,1,0,2
COTOPAXI,STRAIN,0,1,0,1.75
TOPO-DESIGNS,STRUCTURAL,0.2,0.8,0.5,2.5
TOPO-DESIGNS,COMPLEXITY,0,1,0,2
TOPO-DESIGNS,STRAIN,0,1,0,1.75
PATAGONIA-PROVISIONS,STRUCTURAL,0.2,0.8,0.5,2.5
PATAGONIA-PROVISIONS,COMPLEXITY,0,1,0,2
PATAGONIA-PROVISIONS,STRAIN,0,1,0,1.75
KLEAN-KANTEEN,STRUCTURAL,0.2,0.8,0.5,2.5
KLEAN-KANTEEN,COMPLEXITY,0,1,0,2
KLEAN-KANTEEN,STRAIN,0,1,0,1.75
HYDROJUG,STRUCTURAL,0.12,0.88,0.3,2.5
HYDROJUG,COMPLEXITY,0,1,0,2
HYDROJUG,STRAIN,0,1,0,1.75
SIMPLE-MODERN,STRUCTURAL,0.12,0.88,0.3,2.5
SIMPLE-MODERN,COMPLEXITY,0,1,0,2
SIMPLE-MODERN,STRAIN,0,1,0,1.75
RTIC,STRUCTURAL,0.12,0.88,0.3,2.5
RTIC,COMPLEXITY,0,1,0,2
RTIC,STRAIN,0,1,0,1.75
GRUMA-USA,STRUCTURAL,0.2,0.8,0.5,2.5
GRUMA-USA,COMPLEXITY,0,1,0,2
GRUMA-USA,STRAIN,0,1,0,1.75
SIETE-FOODS,STRUCTURAL,0.2,0.8,0.5,2.5
SIETE-FOODS,COMPLEXITY,0,1,0,2
SIETE-FOODS,STRAIN,0,1,0,1.75
LESSEREVIL,STRUCTURAL,0.2,0.8,0.5,2.5
LESSEREVIL,COMPLEXITY,0,1,0,2
LESSEREVIL,STRAIN,0,1,0,1.75
KITE-HILL,STRUCTURAL,0.12,0.88,0.3,2.5
KITE-HILL,COMPLEXITY,0,1,0,2
KITE-HILL,STRAIN,0,1,0,1.75
FORAGER-PROJECT,STRUCTURAL,0.12,0.88,0.3,2.5
FORAGER-PROJECT,COMPLEXITY,0,1,0,2
FORAGER-PROJECT,STRAIN,0,1,0,1.75
CALIFIA-FARMS,STRUCTURAL,0.2,0.8,0.5,2.5
CALIFIA-FARMS,COMPLEXITY,0,1,0,2
CALIFIA-FARMS,STRAIN,0,1,0,1.75
OLLY-NUTRITION,STRUCTURAL,0.2,0.8,0.5,2.5
OLLY-NUTRITION,COMPLEXITY,0,1,0,2
OLLY-NUTRITION,STRAIN,0,1,0,1.75
RITUAL-VITAMINS,STRUCTURAL,0.2,0.8,0.5,2.5
RITUAL-VITAMINS,COMPLEXITY,0,1,0,2
RITUAL-VITAMINS,STRAIN,0,1,0,1.75
HUM-NUTRITION,STRUCTURAL,0.12,0.88,0.3,2.5
HUM-NUTRITION,COMPLEXITY,0,1,0,2
HUM-NUTRITION,STRAIN,0,1,0,1.75
MOON-JUICE,STRUCTURAL,0.12,0.88,0.3,2.5
MOON-JUICE,COMPLEXITY,0,1,0,2
MOON-JUICE,STRAIN,0,1,0,1.75
DAILY-HARVEST,STRUCTURAL,0.2,0.8,0.5,2.5
DAILY-HARVEST,COMPLEXITY,0,1,0,2
DAILY-HARVEST,STRAIN,0,1,0,1.75
FACTOR,STRUCTURAL,0.12,0.88,0.3,2.5
FACTOR,COMPLEXITY,0,1,0,2
FACTOR,STRAIN,0,1,0,1.75
FRESHLY,STRUCTURAL,0.2,0.8,0.5,2.5
FRESHLY,COMPLEXITY,0,1,0,2
FRESHLY,STRAIN,0,1,0,1.75
SUNBASKET,STRUCTURAL,0.2,0.8,0.5,2.5
SUNBASKET,COMPLEXITY,0,1,0,2
SUNBASKET,STRAIN,0,1,0,1.75
PURPLE-CARROT,STRUCTURAL,0.12,0.88,0.3,2.5
PURPLE-CARROT,COMPLEXITY,0,1,0,2
PURPLE-CARROT,STRAIN,0,1,0,1.75
TERRITORY-FOODS,STRUCTURAL,0.12,0.88,0.3,2.5
TERRITORY-FOODS,COMPLEXITY,0,1,0,2
TERRITORY-FOODS,STRAIN,0,1,0,1.75
TRIFECTA,STRUCTURAL,0.12,0.88,0.3,2.5
TRIFECTA,COMPLEXITY,0,1,0,2
TRIFECTA,STRAIN,0,1,0,1.75
KETTLE-FIRE,STRUCTURAL,0.2,0.8,0.5,2.5
KETTLE-FIRE,COMPLEXITY,0,1,0,2
KETTLE-FIRE,STRAIN,0,1,0,1.75
BONAFIDE-PROVISIONS,STRUCTURAL,0.2,0.8,0.5,2.5
BONAFIDE-PROVISIONS,COMPLEXITY,0,1,0,2
BONAFIDE-PROVISIONS,STRAIN,0,1,0,1.75
FARMBOX-DIRECT,STRUCTURAL,0.12,0.88,0.3,2.5
FARMBOX-DIRECT,COMPLEXITY,0,1,0,2
FARMBOX-DIRECT,STRAIN,0,1,0,1.75
MISFITS-MARKET,STRUCTURAL,0.2,0.8,0.5,2.5
MISFITS-MARKET,COMPLEXITY,0,1,0,2
MISFITS-MARKET,STRAIN,0,1,0,1.75
IMPERFECT-FOODS,STRUCTURAL,0.2,0.8,0.5,2.5
IMPERFECT-FOODS,COMPLEXITY,0,1,0,2
IMPERFECT-FOODS,STRAIN,0,1,0,1.75
HUNGRYROOT,STRUCTURAL,0.12,0.88,0.3,2.5
HUNGRYROOT,COMPLEXITY,0,1,0,2
HUNGRYROOT,STRAIN,0,1,0,1.75
GOBBLE,STRUCTURAL,0.2,0.8,0.5,2.5
GOBBLE,COMPLEXITY,0,1,0,2
GOBBLE,STRAIN,0,1,0,1.75
GREEN-CHEF,STRUCTURAL,0.12,0.88,0.3,2.5
GREEN-CHEF,COMPLEXITY,0,1,0,2
GREEN-CHEF,STRAIN,0,1,0,1.75
FRESH-N-LEAN,STRUCTURAL,0.12,0.88,0.3,2.5
FRESH-N-LEAN,COMPLEXITY,0,1,0,2
FRESH-N-LEAN,STRAIN,0,1,0,1.75
VEESTRO,STRUCTURAL,0.2,0.8,0.5,2.5
VEESTRO,COMPLEXITY,0,1,0,2
VEESTRO,STRAIN,0,1,0,1.75
TRUEATS,STRUCTURAL,0.2,0.8,0.5,2.5
TRUEATS,COMPLEXITY,0,1,0,2
TRUEATS,STRAIN,0,1,0,1.75
REAL-GOOD-FOODS,STRUCTURAL,0.12,0.88,0.3,2.5
REAL-GOOD-FOODS,COMPLEXITY,0,1,0,2
REAL-GOOD-FOODS,STRAIN,0,1,0,1.75
OAT-HAUS,STRUCTURAL,0.2,0.8,0.5,2.5
OAT-HAUS,COMPLEXITY,0,1,0,2
OAT-HAUS,STRAIN,0,1,0,1.75
POPPI,STRUCTURAL,0.12,0.88,0.3,2.5
POPPI,COMPLEXITY,0,1,0,2
POPPI,STRAIN,0,1,0,1.75
HEALTH-ADE,STRUCTURAL,0.12,0.88,0.3,2.5
HEALTH-ADE,COMPLEXITY,0,1,0,2
HEALTH-ADE,STRAIN,0,1,0,1.75
FLY-BY-JING,STRUCTURAL,0.2,0.8,0.5,2.5
FLY-BY-JING,COMPLEXITY,0,1,0,2
